GR	log10(LLD)	log10(MSFL)	DT	RHOB	NPHI	PEF	POR	Kg	ln(Kg)
29.78	2.0141	1.7834	60.69	2.5	0.09	4.52	13.2	2.013	0.7
31.45	2.1198	1.9819	56.94	2.51	0.07	5.04	12.4	7.533	2.019
27.59	2.0812	2.0186	58.5	2.57	0.12	4.96	8.3	6.438	1.862
26.16	1.9519	1.6712	58.56	2.47	0.06	4.71	14.6	15.085	2.714
28.34	2.1452	2.2351	54.38	2.54	0.03	5.07	8.7	0.865	-0.145
28.88	2.2461	2.1625	54.63	2.61	0.07	4.88	5.1	0.615	-0.486
28.88	1.9543	1.7384	59.44	2.53	0.07	5.08	13.3	4.372	1.475
30.33	2.1091	2.1509	55.63	2.58	0.04	5.19	7.3	1.904	0.644
44.44	2.2837	2.1676	53.75	2.61	0.04	5.04	3.7	2.194	0.786
43.97	2.3024	2.3085	54.31	2.65	0.08	4.91	4.8	0.869	-0.141
35.81	2.1911	2.236	57	2.57	0.1	4.61	6.7	2.375	0.865
35.84	2.1671	2.0515	57.19	2.55	0.11	4.7	9.1	2.391	0.872
43.28	2.3253	2.2346	55.63	2.61	0.06	5.14	2.5	1.255	0.227
45.03	2.46	2.5763	53.69	2.6	0.06	5.38	2.8	0.51	-0.674
48.03	2.3188	2.2362	56.25	2.6	0.06	5.02	5	1.723	0.544
52.63	2.3917	2.2899	54.69	2.58	0.05	5	3.3	1.598	0.469
54.44	2.4286	2.1224	54.44	2.58	0.04	5.11	2.8	0.445	-0.809
49.59	2.4179	2.6619	53.56	2.61	0.04	5.09	2.7	0.498	-0.696
35.22	2.1245	2.054	52.81	2.67	0.01	4.7	1.6	0.188	-1.671
34.47	2.3625	2.076	54.5	2.57	0.03	4.77	5.9	1.631	0.489
35.28	2.2297	2.0019	50.81	2.66	0.01	4.94	1.6	0.135	-2.003
33.75	2.2252	2.3239	50.75	2.68	0.01	5.13	1.2	0.099	-2.308
33.44	1.9104	2.3384	54.19	2.6	0.08	4.55	4.3	1.01	0.01
28.8	1.8932	2.0856	53.81	2.61	0.05	5.05	4.9	2.592	0.952
33.38	1.8889	2.0728	53.38	2.57	0.04	4.87	5.1	0.35	-1.05
30.42	1.9523	2.0641	52.13	2.62	0.02	5.29	3.2	0.154	-1.869
27.03	2.0621	2.3931	50.88	2.64	0.01	5.31	2.8	0.133	-2.02
21.97	1.6239	1.7816	59.56	2.55	0.08	4.97	8.8	2.676	0.984
22.56	1.573	1.746	59.44	2.52	0.07	4.8	9.6	0.513	-0.667
28.63	1.5876	1.7918	56.5	2.56	0.04	4.87	9.2	0.492	-0.709
38.31	1.6922	1.8835	54.38	2.59	0.02	5.18	6.2	0.355	-1.036
40.66	1.767	1.96	54	2.6	0.02	5.06	3.9	0.763	-0.27
32.41	1.798	2.1641	52.38	2.61	0.03	4.96	2.8	1.271	0.24
26.16	1.811	1.97	54.13	2.59	0.04	5.29	5.5	0.482	-0.73
25.81	1.775	2.0727	55.19	2.63	0.06	5.29	5.1	0.205	-1.585
22.81	1.979	2.35	52.94	2.62	0.03	5.07	4.1	1.45	0.372
23.06	2.0202	2.4801	53.38	2.63	0.04	5.04	4.2	1.213	0.193
17.97	1.9469	2.2514	54.19	2.62	0.05	4.83	5.9	1.22	0.199
18.45	1.8871	2.2267	53.75	2.61	0.05	4.71	6.2	4.362	1.473
16.78	2.0129	2.4952	52.13	2.64	0.03	5.15	4.1	1.094	0.09
18.45	2.1664	2.5817	51.5	2.66	0.02	5.25	3.1	1.102	0.098
20.09	2.1293	2.128	53	2.59	0.02	4.96	5.5	3.125	1.139
28.03	2.0858	2.0849	53.38	2.64	0.02	5.02	3	0.801	-0.222
26.94	2.0958	2.0413	55.13	2.68	0.02	5.06	4.5	1.48	0.392
