GR	log10(LLD)	log10(MSFL)	DT	RHOB	NPHI	PEF	POR	Kg	ln(Kg)
10.05	1.34	1.1649	62.06	2.48	0.12	5.26	12.51	2.984	1.093
11.99	1.4624	1.372	59.91	2.52	0.11	5	9.91	3.423	1.231
14.74	1.471	1.4747	59.58	2.52	0.12	4.83	10.98	0.895	-0.111
14.87	1.4404	1.3844	59.39	2.53	0.11	5.11	11.66	1.513	0.414
14.46	1.4532	1.5185	59.5	2.54	0.11	5.1	10.84	1.219	0.198
14.03	1.4379	1.2728	61.14	2.5	0.13	5.07	11.06	0.528	-0.639
15.2	1.4131	1.1526	63.06	2.46	0.15	4.99	14.71	1.925	0.655
15.25	1.5087	1.1219	63.34	2.47	0.16	4.72	14.78	2.325	0.844
14.78	1.6023	1.404	62.14	2.49	0.14	4.86	9.21	0.778	-0.251
15.11	1.6967	1.3782	59.55	2.51	0.12	4.78	13.11	1.662	0.508
15.63	1.7197	1.4784	58.23	2.52	0.1	4.66	15.27	4.451	1.493
14.32	1.81	1.7263	57	2.54	0.08	4.83	11.92	8.148	2.098
14.69	1.8532	1.5552	54.89	2.56	0.07	5	5.56	0.408	-0.896
16.52	1.7213	1.7712	55.86	2.56	0.09	4.99	10.09	0.771	-0.26
14.75	1.6355	1.4745	61.13	2.46	0.13	4.8	17.28	6.335	1.846
12.81	1.586	1.2617	65.59	2.43	0.17	4.86	17.03	14.085	2.645
10.82	1.5945	1.0906	67.77	2.43	0.19	4.8	16.41	10.438	2.345
10.68	1.6232	1.2193	67.83	2.4	0.18	4.77	17.6	14.81	2.695
11.4	1.6523	1.3442	67.64	2.43	0.17	4.41	17.32	17.96	2.888
10.4	1.6631	1.2938	66.4	2.46	0.16	4.45	12.24	4.303	1.459
10.72	1.6472	1.4186	64.1	2.46	0.15	4.62	10.82	3.3	1.194
9.26	1.6479	1.5454	62.62	2.46	0.13	4.58	16.92	22.563	3.116
8.97	1.7023	1.3909	60.23	2.49	0.12	4.81	10.43	7.114	1.962
10.81	1.7233	1.7597	60.52	2.46	0.14	4.85	13.2	7.074	1.956
10.8	1.6439	1.7851	61.57	2.47	0.14	4.79	9.73	9.156	2.214
9.75	1.7413	1.6445	58.53	2.55	0.11	4.68	11.95	13.693	2.617
9.7	1.733	1.6327	59.58	2.54	0.11	4.55	8.49	0.384	-0.958
27.86	1.916	1.9278	54.58	2.63	0.04	4.99	4.67	0.536	-0.624
31.75	1.9051	1.6391	55.11	2.62	0.06	4.95	6.09	0.265	-1.327
35.54	1.864	1.7092	54.78	2.6	0.07	4.72	3.93	0.095	-2.355
36.59	1.8458	1.5491	55.03	2.64	0.07	4.95	6.22	0.505	-0.683
40.83	1.8218	1.5348	56.02	2.63	0.07	5.18	4.08	0.302	-1.197
46.15	1.6787	1.3118	58.33	2.58	0.09	5.16	6.11	9.898	2.292
42.93	1.6651	1.1035	57.86	2.57	0.08	5.44	11.23	2.456	0.899
40.19	1.7637	1.7199	54.64	2.62	0.06	5.24	8.21	1.349	0.3
35.89	1.9245	1.849	52.91	2.66	0.04	5.1	2.96	0.349	-1.051
32.84	1.9449	2.3834	53.12	2.63	0.04	4.79	3.07	0.158	-1.844
32.18	1.9055	2.4479	53.54	2.61	0.03	4.63	4.22	0.127	-2.061
40.53	1.8594	2.0075	53.35	2.62	0.04	4.42	4.74	0.065	-2.736
46.88	1.9471	1.5144	52.72	2.66	0.06	4.83	4.1	0.118	-2.134
45.55	1.9152	2.4973	53.11	2.64	0.05	4.63	4.64	0.195	-1.635
36.04	2.0781	2.5958	51.89	2.65	0.05	5.02	2.93	0.912	-0.092
23.48	1.9956	1.5136	53.72	2.63	0.07	5.69	1.62	1.058	0.056
28.52	2.2632	1.9549	52.16	2.63	0.05	6.14	3.66	1.121	0.115
31.86	2.3799	2.255	50.03	2.65	0.02	5.81	1.85	0.282	-1.264
29.1	2.4769	2.1945	49.79	2.69	0.01	5.7	1.46	0.25	-1.386
44.3	1.9031	1.7025	52.55	2.66	0.04	5.46	4.09	0.057	-2.857
38.01	2.0181	1.7681	52.17	2.64	0.03	4.47	5.54	1.509	0.412
43.5	1.8968	1.6432	52.96	2.62	0.04	3.98	3.51	0.614	-0.487
23.99	2.1532	2.3013	50.81	2.66	0.03	5.64	2.31	0.3	-1.203
26.09	1.7811	2.1761	53.27	2.64	0.06	5.43	9.01	0.668	-0.403
20.37	1.3251	1.6404	55.88	2.6	0.09	4.48	5.5	0.247	-1.4
18.23	1.3516	1.4077	56.95	2.59	0.09	4.22	8.52	0.555	-0.589
19.21	1.4973	1.8639	55.72	2.61	0.08	4.57	7.49	0.17	-1.774
24.43	1.4776	2.1072	54	2.63	0.05	4.65	1.88	0.035	-3.363
25.94	1.4201	1.942	54.15	2.64	0.05	4.42	8.9	0.303	-1.194
27	1.5541	1.4741	55.06	2.63	0.06	4.36	2.41	0.035	-3.363
28.84	1.7545	2.089	53.53	2.65	0.05	4.74	3.29	0.285	-1.255
33.26	1.6265	1.8694	52.2	2.65	0.05	4.35	3.41	0.096	-2.339
35.16	1.5209	1.4479	53.17	2.65	0.05	4.27	1.15	0.02	-3.912
37.39	1.6593	1.7853	53.11	2.68	0.05	5.59	2.24	0.08	-2.526
36.58	2.0557	1.9565	52	2.65	0.04	5.26	6.27	0.369	-0.996
36.77	2.2819	2.2109	50.77	2.67	0.02	5.05	0.43	0.073	-2.611
50.1	2.6233	2.308	49.56	2.7	0.02	4.6	0.58	0.049	-3.016
48.06	2.0343	2.3761	50.98	2.66	0.03	4.32	4.33	0.046	-3.083
29.88	1.9783	2.143	53.06	2.63	0.06	5.75	7.34	0.191	-1.655
32.37	1.5867	1.9829	55.94	2.58	0.09	5.21	8.35	0.442	-0.817
33.73	1.3809	1.8315	56.48	2.57	0.1	4.77	5.49	0.236	-1.446
35.35	1.3981	1.7976	56.35	2.59	0.09	4.9	4.83	0.787	-0.24
32.93	1.3562	1.7818	57.06	2.59	0.09	5.01	3.95	0.094	-2.367
32.44	1.1075	1.5397	59.19	2.52	0.14	5.1	12.13	1.194	0.178
34.92	0.9489	1.4349	62.08	2.46	0.17	5.13	14.46	2.8	1.029
33.42	0.871	1.3836	65.36	2.43	0.18	4.9	13.45	0.939	-0.063
30.8	0.8681	0.9818	64.81	2.44	0.18	4.85	11.4	0.7	-0.357
34.21	0.9777	1.2776	61.72	2.51	0.15	4.63	9.31	0.485	-0.724
32	1.273	1.6696	59.22	2.54	0.12	4.87	11	1.38	0.322
25.95	1.4373	1.6152	57.36	2.56	0.1	5.1	4.47	0.083	-2.488
25.41	1.5459	1.5378	55.55	2.6	0.08	5.29	5.91	0.153	-1.878
26.9	1.6008	1.7334	55.27	2.6	0.08	5.14	4.83	0.14	-1.966
23.21	1.5733	1.4643	55.78	2.6	0.07	5.16	5.07	0.185	-1.688
22.63	1.5398	1.5527	55.36	2.61	0.08	5.33	5.93	0.2	-1.609
28.18	1.5544	1.6044	54.67	2.62	0.07	5.11	5.73	0.125	-2.08
27.93	1.5797	1.5005	54.08	2.64	0.06	4.87	4.07	0.099	-2.313
25.7	1.6312	1.9848	53.58	2.65	0.05	5.34	3.93	0.108	-2.224
